file,energy_chgnet,energy_mace,delta_E,force_mae,force_rmse,force_max_abs
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain-0.010_perturbed.cif,-2761.2189445495605,-2756.068565551017,5.1503789985436015,0.013789628697320028,0.021104371247832,0.1119288993253138
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain-0.015_perturbed.cif,-2759.4237098693848,-2754.215477115533,5.208232753851917,0.014037034599001406,0.021966780559531947,0.1379403953629521
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain+0.010_perturbed.cif,-2761.522373199463,-2756.404933464917,5.117439734545769,0.01286189087560111,0.019836462366733077,0.12030939753687259
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain+0.015_perturbed.cif,-2759.58500289917,-2754.525843993062,5.059158906107768,0.013176070750672283,0.020602777103012542,0.12607704150290955
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain-0.010_perturbed.cif,-2762.281562805176,-2757.0393344670592,5.242228338116547,0.01385499754371702,0.020785681944368112,0.11404137524806335
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain-0.015_perturbed.cif,-2760.6627616882324,-2755.3963445663394,5.266417121893028,0.014403800299302964,0.022413568613552048,0.16744280776508352
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0093_strain+0.010_perturbed.cif,-2761.8359985351562,-2756.7246689181193,5.111329617036972,0.013282465922889185,0.02036625820273545,0.11282573016799799
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0093_strain+0.015_perturbed.cif,-2759.9119148254395,-2754.860031932709,5.051882892730646,0.01348107531810242,0.020834473279109433,0.1017815294917146
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0093_strain-0.010_perturbed.cif,-2762.5942611694336,-2757.361453323363,5.2328078460705,0.013769211328573163,0.020583769246306467,0.1331353621820136
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0093_strain-0.015_perturbed.cif,-2761.0350952148438,-2755.7759924366255,5.259102778218221,0.01392513327529522,0.020838724520372488,0.1249553499843239
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0096_strain+0.010_perturbed.cif,-2760.599109649658,-2755.538318543782,5.060791105875978,0.013767063826115037,0.021610723571675386,0.15480852837329917
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0096_strain+0.015_perturbed.cif,-2758.8279762268066,-2753.8352041303297,4.992772096476983,0.014006152327639795,0.022152838487210922,0.153070497792406
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0096_strain-0.010_perturbed.cif,-2761.0761909484863,-2755.8305583356705,5.245632612815825,0.01476099848780004,0.02335119250871234,0.14923299086646358
