file,energy_chgnet_meV,energy_mace_meV,delta_E_meV,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain+0.015_perturbed.cif,-2764083.9042663574,-2759282.3556151125,4801.548651244957,12.324186249807237,20.27090214692882,188.0823848362421
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain-0.010_perturbed.cif,-2768373.9280700684,-2763275.034414284,5098.893655784428,12.467076359891914,19.610012728674906,137.13424440332855
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain-0.015_perturbed.cif,-2767059.482574463,-2761920.741487207,5138.741087255999,13.178461459052368,20.539362324049264,144.61007250741875
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain+0.010_perturbed.cif,-2766129.7302246094,-2761255.261989194,4874.4682354154065,11.956566427564178,18.984680301467574,162.53639106508035
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain+0.015_perturbed.cif,-2763755.4473876953,-2758965.539957164,4789.907430531457,12.392969959119483,19.753769850971498,155.518612574524
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain-0.010_perturbed.cif,-2768808.67767334,-2763734.139141714,5074.538531625643,12.510788734470262,19.456220464527135,130.65935472996875
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain-0.015_perturbed.cif,-2767656.7611694336,-2762531.792089576,5124.969079857692,12.901454521119486,20.415961848425802,158.2915131719942
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain+0.010_perturbed.cif,-2765828.155517578,-2760973.2574564693,4854.898061108775,12.015155268998498,19.35556704689176,157.27221596272693
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain+0.015_perturbed.cif,-2763450.782775879,-2758678.9697888596,4771.812987019308,12.458758127255898,20.18533033158475,171.73459741102738
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain-0.010_perturbed.cif,-2768479.293823242,-2763414.849596535,5064.444226707332,12.865958000014725,20.526414992461042,185.71475978026342
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain-0.015_perturbed.cif,-2767434.597015381,-2762315.7119480604,5118.885067320429,13.147984864941114,21.20491383887443,210.2340928316819
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain+0.010_perturbed.cif,-2766027.763366699,-2761158.048110636,4869.715256063268,11.914946278537908,18.984914644662496,143.64458035939754
