file,num_atoms,energy_chgnet_meV_per_atom,energy_mace_meV_per_atom,delta_E_meV_per_atom,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0097_strain+0.010_perturbed.cif,900,-3317.4996376037598,-3305.147596233712,12.352041370047573,28.464274630449825,43.298521936158515,275.7957517758473
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0097_strain+0.015_perturbed.cif,900,-3322.3118782043457,-3310.254951249646,12.05692695469952,28.166444493648477,43.33704932144773,273.51524789627535
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0097_strain-0.010_perturbed.cif,900,-3287.703275680542,-3274.3252786661874,13.377997014354605,33.84416272358798,52.31575151560498,330.81280594530585
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0097_strain-0.015_perturbed.cif,900,-3277.209997177124,-3263.6608911647477,13.549106012376342,35.766626584697896,55.88188522528416,406.1402732350075
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0120_strain+0.010_perturbed.cif,900,-3379.1658878326416,-3367.27240251817,11.89348531447149,26.61715007714847,42.4539949107407,444.7596074439132
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0120_strain+0.015_perturbed.cif,900,-3383.998155593872,-3372.338418903075,11.659736690797217,25.583547284385208,41.251633226121704,475.98060069015287
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0120_strain-0.010_perturbed.cif,900,-3350.6999015808105,-3337.7395123500737,12.960389230736837,28.532391964107486,43.61031427152334,299.4469379754067
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0120_strain-0.015_perturbed.cif,900,-3340.9552574157715,-3327.761866301492,13.19339111427962,30.29384967573756,46.889112981755524,372.6915793667813
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0154_strain-0.010_perturbed.cif,900,-3433.299779891968,-3422.841812716797,10.45796717517078,22.395520108324526,32.21205206611981,305.1828629509323
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0154_strain-0.015_perturbed.cif,900,-3424.34024810791,-3413.692360363881,10.647887744029049,23.88825953684035,34.548054312025755,308.3640439026849
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0160_strain+0.010_perturbed.cif,900,-3463.482141494751,-3453.777023215112,9.70511827963901,21.52669566241739,32.34084308755624,232.77140670270614
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0160_strain+0.015_perturbed.cif,900,-3468.1849479675293,-3458.5518661321516,9.633081835377652,21.15793457361094,32.265163730927014,222.44577327646653
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0160_strain-0.010_perturbed.cif,900,-3435.861825942993,-3425.575632339492,10.286193603501033,23.095396486130294,33.463173467316494,274.0593172371601
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0160_strain-0.015_perturbed.cif,900,-3426.5310764312744,-3416.0964780865147,10.434598344759706,24.148005921313473,35.18641305468755,275.6904526397018
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0194_strain+0.010_perturbed.cif,900,-3452.9693126678467,-3442.8934590095178,10.075853658328924,22.52968369482835,36.99691791056229,378.68613974826394
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0194_strain+0.015_perturbed.cif,900,-3459.1445922851562,-3449.2222025775445,9.922389707611728,22.27276502893798,36.15739166169547,358.6422369166712
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0194_strain-0.010_perturbed.cif,900,-3417.766571044922,-3407.447523312876,10.319047732045874,26.59610217493789,42.34171276397711,362.70059219054315
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0194_strain-0.015_perturbed.cif,900,-3406.2609672546387,-3395.9534030507916,10.30756420384705,27.70581368826829,44.29233452371926,397.8477444493749
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0197_strain+0.010_perturbed.cif,900,-3447.2036361694336,-3436.938645938062,10.264990231371485,22.36434279324363,34.19661970075778,294.2856445591583
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0197_strain+0.015_perturbed.cif,900,-3453.5510540008545,-3443.4772037838575,10.073850216997016,21.69559964951079,32.95502961364515,268.05815755390813
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0197_strain-0.010_perturbed.cif,900,-3411.461353302002,-3400.8317913559017,10.629561946100239,26.1921700289453,39.21064526143393,212.56997904935963
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0197_strain-0.015_perturbed.cif,900,-3399.8537063598633,-3389.2308053875845,10.622900972278785,27.212684913571458,40.756662580810406,245.24765782653571
cellrelaxed_LLZO_001_Zr_code93_sto__Li_111_slab_heavy_T300_0013_strain+0.010_perturbed.cif,1044,-2983.265161514282,-2971.740928784018,11.52423273026443,35.18310215297947,52.58362447096384,285.3385646977458
cellrelaxed_LLZO_001_Zr_code93_sto__Li_111_slab_heavy_T300_0013_strain+0.015_perturbed.cif,1044,-2982.440233230591,-2971.0451127423585,11.395120488232351,34.64508523248699,51.91762931450205,261.4899236001226
cellrelaxed_LLZO_001_Zr_code93_sto__Li_111_slab_heavy_T300_0013_strain-0.010_perturbed.cif,1044,-2971.2371826171875,-2959.4123145054455,11.824868111742035,35.514396517776916,53.04309827056936,297.79072297419737
