file,num_atoms,energy_chgnet_meV_per_atom,energy_mace_meV_per_atom,delta_E_meV_per_atom,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain+0.015_perturbed.cif,648,-4264.874458312988,-4257.4740672481075,7.4003910648807505,12.021525630347789,19.25390360070282,143.0514683718298
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain-0.010_perturbed.cif,648,-4272.877216339111,-4265.095599842931,7.781616496180504,12.370385918033843,19.109550499419473,129.7848508701307
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain-0.015_perturbed.cif,648,-4271.295547485352,-4263.448067989817,7.8474794955345715,12.90340003318921,19.91458122531617,147.72871768646644
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain+0.010_perturbed.cif,648,-4266.392230987549,-4258.49631630065,7.895914686899232,12.418842431479165,18.919333434129673,121.2316192522992
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain+0.015_perturbed.cif,648,-4264.2316818237305,-4256.403780616286,7.827901207444484,12.501104728489889,19.31131787260127,144.97780009517783
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain-0.010_perturbed.cif,648,-4264.745712280273,-4256.686501947699,8.059210332574366,12.647600114518639,18.878950294279598,132.40780626857654
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain-0.015_perturbed.cif,648,-4261.547088623047,-4253.435342339125,8.111746283922002,13.410685315387067,20.425781351007046,135.3846723687092
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain+0.010_perturbed.cif,648,-4267.238616943359,-4259.252689337442,7.985927605917823,12.918688009457751,19.652816981839614,104.43835762455342
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain+0.015_perturbed.cif,648,-4264.857292175293,-4256.945253085301,7.912039089991595,12.761584241106453,19.672322935267154,91.630157583465
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain-0.010_perturbed.cif,648,-4266.092777252197,-4257.956027518239,8.136749733957913,13.380755677366357,20.364213086971372,120.28038600078617
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain-0.015_perturbed.cif,648,-4262.97664642334,-4254.794332915795,8.182313507544677,13.734672788861083,20.93608353480552,147.1080495149008
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain+0.010_perturbed.cif,648,-4267.12703704834,-4259.1938724406555,7.933164607684375,12.476331750847566,19.535766242548192,129.73255968235594
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain+0.015_perturbed.cif,648,-4264.556884765625,-4256.707310482909,7.849574282716276,12.773636724442083,20.262015886791154,136.0960438632316
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain-0.010_perturbed.cif,648,-4266.627311706543,-4258.517628336573,8.109683369970298,13.230358254296892,19.66019106767078,108.98847215573635
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain-0.015_perturbed.cif,648,-4263.715744018555,-4255.553944897937,8.161799120617616,13.608430867935384,20.346803096587234,109.0742648887358
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain+0.010_perturbed.cif,648,-4266.762256622314,-4258.841466163703,7.920790458611009,12.57686072148392,19.68367045846058,121.87684760878523
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain+0.015_perturbed.cif,648,-4264.139175415039,-4256.2969980059315,7.842177409107535,12.697399769267449,19.79154700877343,131.58733279111144
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain-0.010_perturbed.cif,648,-4266.665458679199,-4258.5778453047415,8.08761337445776,13.740808151732542,20.69442243383666,136.30095798635125
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain-0.015_perturbed.cif,648,-4263.843059539795,-4255.709840844146,8.133218695648793,14.086392352456201,21.65066192462584,156.2858109238557
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain+0.010_perturbed.cif,648,-4260.776042938232,-4253.145857843647,7.630185094585613,13.160607234912494,20.284234200562626,141.03220994617743
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain+0.015_perturbed.cif,648,-4258.066654205322,-4250.548725787038,7.5179284182841,13.356635401988173,21.176193971013554,165.58797838841895
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain-0.010_perturbed.cif,648,-4261.1403465271,-4253.192230788606,7.94811573849347,13.789628697320028,21.104371247832002,111.92889932531381
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain-0.015_perturbed.cif,648,-4258.369922637939,-4250.332526412859,8.037396225080556,14.037034599001405,21.966780559531944,137.94039536295213
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain+0.010_perturbed.cif,648,-4261.608600616455,-4253.711317075489,7.897283540965873,12.861890875601112,19.836462366733077,120.30939753687261
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain+0.015_perturbed.cif,648,-4258.6188316345215,-4250.811487643614,7.807343990907611,13.176070750672283,20.602777103012542,126.07704150290954
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain-0.010_perturbed.cif,648,-4262.78018951416,-4254.690330967684,8.089858546476535,13.854997543717019,20.785681944368115,114.04137524806333
