filename,dataset,u_E_A,d_latent_A,strain,temp,termination,facet,u_E_B,d_latent_B
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T300_0043.cif,T1,0.005553392614586141,0.2695528654107286,0.0,300,La,100,0.0024326215237970355,0.166060401050845
cellrelaxed_LLZO_010_Li_order0_off__Li_110_slab_heavy_T300_0063.cif,T1,0.004062519210711529,0.387188196992939,0.0,300,Li,110,0.0018074701004650883,0.2705087028782201
cellrelaxed_LLZO_010_La_order0_off__Li_100_slab_heavy_T300_0168.cif,T1,0.002672830566120153,0.6472967302933026,0.0,300,La,100,0.001151304941403194,0.5211926602504748
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T450_0022.cif,T1,0.0239351597842433,1.3755760093707772,0.0,450,Li,111,0.01177015485930624,1.197212277873757
cellrelaxed_LLZO_010_Li_order4_off__Li_110_slab_heavy_T450_0136.cif,T1,0.0027165042397169115,0.4882821577680633,0.0,450,Li,110,0.0014178434509964912,0.36615188893948114
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T450_0074.cif,T1,0.01885961046310478,0.9595331557711855,0.0,450,Li,111,0.009435335523511447,0.8633796132757839
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T450_0149.cif,T1,0.004275436494751779,0.42034646184745356,0.0,450,La,100,0.0017040320420367856,0.2959168718377918
cellrelaxed_LLZO_010_O_order5_off__Li_110_slab_heavy_T300_0142.cif,T1,0.002855737911402,0.4861481639464861,0.0,300,O,110,0.0012338089232093302,0.36229549553028306
cellrelaxed_LLZO_001_Zr_code93_sto__Li_111_slab_heavy_T450_0079.cif,T1,0.02516966341139661,1.5689880790048285,0.0,450,Zr,111,0.012126243973327754,1.3532000695689452
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T300_0107.cif,T1,0.013230275024126893,0.5348849886412245,0.0,300,Li,111,0.006099372783510598,0.5336496059878653
cellrelaxed_LLZO_010_Li_order4_off__Li_110_slab_heavy_T450_0110.cif,T1,0.0028842860580554274,0.46999223332050305,0.0,450,Li,110,0.0014525314820515245,0.3493010389679623
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0147.cif,T1,0.007675560572569215,0.21744968047416824,0.0,300,Zr,110,0.0021250194762604414,0.17598433397028743
